FECHA_INF,RUN_FM,GASTOS_TOTALES,PATRIMONIO_AJUSTADO_GASTOS,COSTOS_TOTALES,PATRIMONIO_AJUSTADO_COSTOS,PATRIMONIO_NETO_ANTERIOR,TASA_GASTOS_DIARIA_%,TASA_GASTOS_ANUALIZADA_%,TDC_%,TAC_%,LIMITE_GASTOS_ANUALIZADO,ESPACIO_GASTOS_ANUALIZADO,ESPACIO_GASTOS_DIARIO,CUMPLE_LIMITE_GASTOS_ANUAL
2025-01-20,9811,102747.0,26687036759.16186,708872.0,26687642884.16186,26946923896.0,0.00038500715132685603,0.1409126173856293,0.0026561806266550787,0.9721621093557588,0.5,134105712.35759729,366409.05015736964,true
2025-01-21,9811,102732.0,26961819830.44102,715032.0,26962432130.44102,26681957683.0,0.000381027692663428,0.13945613551481464,0.0026519566059202697,0.9706161177668187,0.5,135486531.81126142,370181.78090508585,true
2025-01-22,9811,102721.0,26877699573.63169,713251.0,26878310103.63169,26969439565.0,0.0003821792847955419,0.13987761823516834,0.002653630370547843,0.9712287156205105,0.5,135063816.95292306,369026.8222757461,true
2025-01-23,9811,102707.0,26850440535.040955,712629.0,26851050457.040955,26882246524.0,0.0003825151392431087,0.1400005409629778,0.002654007898648645,0.9713668909054041,0.5,134926836.8595023,368652.55972541607,true
2025-01-24,9811,222776.0,26658803021.419853,828446.0,26659408691.419853,26879270164.0,0.0008356564239624849,0.3058502511702695,0.0031075182859049296,1.1373516926412042,0.5,133963834.27849172,366021.405132491,true
2025-01-25,9811,102680.0,27147512080.86118,721035.0,27148130435.86118,27148130876.0,0.0003782298712830806,0.1384321328896075,0.002655928745087922,0.9720699207021795,0.5,136419658.69779488,372731.3079174724,true
2025-01-26,9811,102667.0,27146791017.837124,721004.0,27147409354.837124,27147409841.0,0.00037819202988869445,0.13841828293926217,0.0026558850996643317,0.9720539464771454,0.5,136416035.26551318,372721.407829271,true
2025-01-27,9811,148584.0,26895538695.789665,761197.0,26896151308.789665,27146688837.0,0.0005524484996586439,0.20219615087506365,0.0028301335431260783,1.0358288767841446,0.5,135153460.78286263,369271.7507728487,true
2025-01-28,9811,122884.0,27119134783.68754,740205.0,27119752104.68754,26786479855.0,0.00045312655060778743,0.1658443175224502,0.002729394417554645,0.998958356825,0.5,136277059.21451023,372341.6918429241,true
2025-01-29,9811,104621.0,26925431571.673794,718438.0,26926045388.673794,27039544031.0,0.000388558303035944,0.1422123389111555,0.0026681898126124553,0.9765574714161587,0.5,135303676.2395668,369682.17551794206,true
